minbound,shape,unit,
21.6,4,4.32,
25.92,4,4.32,
0,4,3.132,
,,,
IX,IY,IZ,value
0,0,0,FALSE
0,0,1,FALSE
0,0,2,FALSE
0,0,3,FALSE
0,1,0,FALSE
0,1,1,FALSE
0,1,2,FALSE
0,1,3,FALSE
0,2,0,FALSE
0,2,1,FALSE
0,2,2,FALSE
0,2,3,FALSE
0,3,0,FALSE
0,3,1,FALSE
0,3,2,FALSE
0,3,3,FALSE
1,0,0,TRUE
1,0,1,TRUE
1,0,2,FALSE
1,0,3,FALSE
1,1,0,TRUE
1,1,1,TRUE
1,1,2,TRUE
1,1,3,FALSE
1,2,0,FALSE
1,2,1,TRUE
1,2,2,TRUE
1,2,3,FALSE
1,3,0,FALSE
1,3,1,FALSE
1,3,2,FALSE
1,3,3,FALSE
2,0,0,FALSE
2,0,1,TRUE
2,0,2,FALSE
2,0,3,FALSE
2,1,0,FALSE
2,1,1,TRUE
2,1,2,FALSE
2,1,3,FALSE
2,2,0,FALSE
2,2,1,TRUE
2,2,2,TRUE
2,2,3,FALSE
2,3,0,FALSE
2,3,1,FALSE
2,3,2,FALSE
2,3,3,FALSE
3,0,0,FALSE
3,0,1,FALSE
3,0,2,FALSE
3,0,3,FALSE
3,1,0,FALSE
3,1,1,FALSE
3,1,2,FALSE
3,1,3,FALSE
3,2,0,FALSE
3,2,1,FALSE
3,2,2,FALSE
3,2,3,FALSE
3,3,0,FALSE
3,3,1,FALSE
3,3,2,FALSE
3,3,3,FALSE
