minbound,shape,unit,
21.6,3,4.32,
25.92,4,4.32,
0,4,3.132,
,,,
IX,IY,IZ,value
-1,-1,-1,FALSE
-1,-1,0,FALSE
-1,-1,1,FALSE
-1,-1,2,FALSE
-1,0,-1,FALSE
-1,0,0,FALSE
-1,0,1,FALSE
-1,0,2,FALSE
-1,1,-1,FALSE
-1,1,0,FALSE
-1,1,1,FALSE
-1,1,2,FALSE
-1,2,-1,FALSE
-1,2,0,FALSE
-1,2,1,FALSE
-1,2,2,FALSE
0,-1,-1,FALSE
0,-1,0,FALSE
0,-1,1,FALSE
0,-1,2,FALSE
0,0,-1,FALSE
0,0,0,TRUE
0,0,1,FALSE
0,0,2,FALSE
0,1,-1,FALSE
0,1,0,TRUE
0,1,1,TRUE
0,1,2,FALSE
0,2,-1,FALSE
0,2,0,FALSE
0,2,1,FALSE
0,2,2,FALSE
1,-1,-1,FALSE
1,-1,0,FALSE
1,-1,1,FALSE
1,-1,2,FALSE
1,0,-1,FALSE
1,0,0,FALSE
1,0,1,FALSE
1,0,2,FALSE
1,1,-1,FALSE
1,1,0,FALSE
1,1,1,FALSE
1,1,2,FALSE
1,1,-1,FALSE
1,2,0,FALSE
1,2,1,FALSE
1,2,2,FALSE
